lluvia,geometry
74.0,"POLYGON ((-71.00284005680699 -34.746835189743095, -71.00284005680699 -34.800734106790266, -70.94894113975981 -34.800734106790266, -70.94894113975981 -34.746835189743095, -71.00284005680699 -34.746835189743095))"
80.0,"POLYGON ((-70.94894113975981 -34.746835189743095, -70.94894113975981 -34.800734106790266, -70.90402537555383 -34.800734106790266, -70.90402537555383 -34.746835189743095, -70.94894113975981 -34.746835189743095))"
82.0,"POLYGON ((-70.90402537555383 -34.746835189743095, -70.90402537555383 -34.800734106790266, -70.79622754145949 -34.800734106790266, -70.79622754145949 -34.746835189743095, -70.90402537555383 -34.746835189743095))"
90.0,"POLYGON ((-70.75131177725352 -34.746835189743095, -70.75131177725352 -34.800734106790266, -70.69741286020634 -34.800734106790266, -70.69741286020634 -34.746835189743095, -70.75131177725352 -34.746835189743095))"
97.0,"POLYGON ((-70.69741286020634 -34.746835189743095, -70.69741286020634 -34.800734106790266, -70.65249709600037 -34.800734106790266, -70.65249709600037 -34.746835189743095, -70.69741286020634 -34.746835189743095))"
99.0,"POLYGON ((-70.65249709600037 -34.746835189743095, -70.65249709600037 -34.800734106790266, -70.5985981789532 -34.800734106790266, -70.5985981789532 -34.746835189743095, -70.65249709600037 -34.746835189743095))"
97.0,"POLYGON ((-70.5985981789532 -34.746835189743095, -70.5985981789532 -34.800734106790266, -70.55368241474721 -34.800734106790266, -70.55368241474721 -34.746835189743095, -70.5985981789532 -34.746835189743095))"
108.0,"POLYGON ((-70.49978349770005 -34.746835189743095, -70.49978349770005 -34.800734106790266, -70.44588458065287 -34.800734106790266, -70.44588458065287 -34.746835189743095, -70.49978349770005 -34.746835189743095))"
104.0,"POLYGON ((-70.44588458065287 -34.746835189743095, -70.44588458065287 -34.800734106790266, -70.4009688164469 -34.800734106790266, -70.4009688164469 -34.746835189743095, -70.44588458065287 -34.746835189743095))"
104.0,"POLYGON ((-70.34706989939973 -34.746835189743095, -70.34706989939973 -34.800734106790266, -70.31113728803496 -34.800734106790266, -70.31113728803496 -34.746835189743095, -70.34706989939973 -34.746835189743095))"
76.0,"POLYGON ((-71.64962706137304 -34.746835189743095, -71.64962706137304 -34.800734106790266, -71.59572814432586 -34.800734106790266, -71.59572814432586 -34.84564987099624, -71.5508123801199 -34.84564987099624, -71.5508123801199 -34.800734106790266, -71.59572814432586 -34.800734106790266, -71.59572814432586 -34.746835189743095, -71.64962706137304 -34.746835189743095))"
106.0,"POLYGON ((-70.4009688164469 -34.746835189743095, -70.4009688164469 -34.800734106790266, -70.34706989939973 -34.800734106790266, -70.34706989939973 -34.84564987099624, -70.31113728803496 -34.84564987099624, -70.31113728803496 -34.800734106790266, -70.34706989939973 -34.800734106790266, -70.34706989939973 -34.746835189743095, -70.4009688164469 -34.746835189743095))"
49.0,"POLYGON ((-72.15268362047998 -34.800734106790266, -72.15268362047998 -34.84564987099624, -72.05386893922682 -34.84564987099624, -72.05386893922682 -34.800734106790266, -72.15268362047998 -34.800734106790266))"
51.0,"POLYGON ((-72.05386893922682 -34.800734106790266, -72.05386893922682 -34.84564987099624, -71.99997002217965 -34.84564987099624, -71.99997002217965 -34.800734106790266, -72.05386893922682 -34.800734106790266))"
57.0,"POLYGON ((-71.99997002217965 -34.800734106790266, -71.99997002217965 -34.84564987099624, -71.94607110513248 -34.84564987099624, -71.94607110513248 -34.800734106790266, -71.99997002217965 -34.800734106790266))"
66.0,"POLYGON ((-71.94607110513248 -34.800734106790266, -71.94607110513248 -34.84564987099624, -71.84725642387933 -34.84564987099624, -71.84725642387933 -34.800734106790266, -71.94607110513248 -34.800734106790266))"
73.0,"POLYGON ((-71.84725642387933 -34.800734106790266, -71.84725642387933 -34.84564987099624, -71.80234065967336 -34.84564987099624, -71.80234065967336 -34.800734106790266, -71.84725642387933 -34.800734106790266))"
83.0,"POLYGON ((-71.80234065967336 -34.800734106790266, -71.80234065967336 -34.84564987099624, -71.74844174262618 -34.84564987099624, -71.74844174262618 -34.800734106790266, -71.80234065967336 -34.800734106790266))"
85.0,"POLYGON ((-71.74844174262618 -34.800734106790266, -71.74844174262618 -34.84564987099624, -71.7035259784202 -34.84564987099624, -71.7035259784202 -34.800734106790266, -71.74844174262618 -34.800734106790266))"
